nom_clean,nom_gare,x,y,Trafic,Ville,ligne
OPERA,Opéra,48.870636,2.332353,5193831.0,Paris,3
OPERA,Opéra,48.870636,2.332353,5193831.0,Paris,7
OPERA,Opéra,48.870636,2.332353,5193831.0,Paris,8
OURCQ,Ourcq,48.887,2.386,2862337.0,Paris,5
PALAISROYALMUSEEDULOUVRE,Palais Royal–Musée du Louvre,48.862644,2.336578,4822599.0,Paris,1
PALAISROYALMUSEEDULOUVRE,Palais Royal–Musée du Louvre,48.862644,2.336578,4822599.0,Paris,7
PARMENTIER,Parmentier,48.865299,2.374381,2037234.0,Paris,3
PASSY,Passy,48.857445,2.285779,2080548.0,Paris,6
PASTEUR,Pasteur,48.842836,2.312681,3026286.0,Paris,6
PASTEUR,Pasteur,48.842836,2.312681,3026286.0,Paris,12
PELLEPORT,Pelleport,48.868671,2.401752,229524.0,Paris,3bis
PERELACHAISE,Père Lachaise,48.862921,2.387388,3465307.0,Paris,2
PERELACHAISE,Père Lachaise,48.862921,2.387388,3465307.0,Paris,3
PEREIRE,Pereire,48.884648,2.299211,3130190.0,Paris,3
PERNETY,Pernety,48.83421,2.31851,2173567.0,Paris,13
PHILIPPEAUGUSTE,Philippe Auguste,48.858021,2.390938,1262653.0,Paris,2
PICPUS,Picpus,48.84515,2.400494,931602.0,Paris,6
PIERREETMARIECURIE,Pierre et Marie Curie,48.81592,2.37789,1100552.0,Ivry-sur-Seine,7
PIGALLE,Pigalle,48.882255,2.337573,3501831.0,Paris,2
PIGALLE,Pigalle,48.882255,2.337573,3501831.0,Paris,12
PLACEDECLICHY,Place de Clichy,48.883889,2.3275,5161932.0,Paris,2
PLACEDECLICHY,Place de Clichy,48.883889,2.3275,5161932.0,Paris,13
PLACEDESFETES,Place des Fêtes,48.87684,2.39296,2318764.0,Paris,7bis
PLACEDESFETES,Place des Fêtes,48.87684,2.39296,2318764.0,Paris,11
PLACEDITALIE,Place d'Italie,48.831483,2.355692,7119097.0,Paris,5
PLACEDITALIE,Place d'Italie,48.831483,2.355692,7119097.0,Paris,6
PLACEDITALIE,Place d'Italie,48.831483,2.355692,7119097.0,Paris,7
PLACEMONGE,Place Monge,48.84359,2.352279,1837996.0,Paris,7
PLAISANCE,Plaisance,48.831553,2.313741,3521753.0,Paris,13
POINTEDULAC,Pointe du Lac,48.76889,2.46472,2114438.0,Créteil,8
POISSONNIERE,Poissonnière,48.87708,2.34845,2306725.0,Paris,7
PONTCARDINET,Pont Cardinet,48.889481,2.315206,4168538.0,Paris,14
PONTDELEVALLOISBECON,Pont de Levallois—Bécon,48.897313,2.280787,2984777.0,Levallois-Perret,3
PONTDENEUILLY,Pont de Neuilly,48.885,2.259722,4809503.0,Neuilly-sur-Seine,1
PONTDESEVRES,Pont de Sèvres,48.829747,2.231035,3430203.0,Boulogne-Billancourt,9
PONTMARIE,Pont Marie,48.85329,2.35762,1101482.0,Paris,7
PONTNEUF,Pont Neuf,48.85868,2.34149,1188930.0,Paris,7
PORTEDAUPHINE,Porte Dauphine,48.87139,2.27667,2021656.0,Paris,2
PORTEDAUTEUIL,Porte d'Auteuil,48.848025,2.25875,375748.0,Paris,10
PORTEDEBAGNOLET,Porte de Bagnolet,48.864565,2.407278,3085790.0,Paris,3
PORTEDECHAMPERRET,Porte de Champerret,48.885851,2.293487,2101673.0,Paris,3
PORTEDECHARENTON,Porte de Charenton,48.83278,2.4004,1529778.0,Paris,8
PORTEDECHOISY,Porte de Choisy,48.82032,2.36529,1592144.0,Paris,7
PORTEDECLICHY,Porte de Clichy,48.893889,2.314444,5278497.0,Paris,13
PORTEDECLICHY,Porte de Clichy,48.893889,2.314444,5278497.0,Paris,14
PORTEDECLIGNANCOURT,Porte de Clignancourt,48.896944,2.345,5611814.0,Paris,4
PORTEDELACHAPELLE,Porte de la Chapelle,48.897274,2.359191,1866281.0,Paris,12
PORTEDELAVILLETTE,Porte de la Villette,48.89709,2.38588,2706288.0,Paris,7
PORTEDEMONTREUIL,Porte de Montreuil,48.853792,2.412245,3067413.0,Paris,9
PORTEDEPANTIN,Porte de Pantin,48.88971,2.39629,3374733.0,Paris,5
PORTEDESTCLOUD,Porte de Saint-Cloud,48.838082,2.256956,3485946.0,Paris,9
PORTEDESTOUEN,Porte de Saint-Ouen,48.896667,2.328611,2710638.0,Paris,13
PORTEDEVANVES,Porte de Vanves,48.82794,2.30588,3395358.0,Paris,13
PORTEDEVERSAILLES,Porte de Versailles,48.832328,2.287841,3268157.0,Paris,12
PORTEDEVINCENNES,Porte de Vincennes,48.847326,2.407759,5446602.0,Paris,1
PORTEDESLILAS,Porte des Lilas,48.877183,2.406655,3105016.0,Paris,3bis
PORTEDESLILAS,Porte des Lilas,48.877183,2.406655,3105016.0,Paris,11
PORTEDITALIE,Porte d'Italie,48.819196,2.360805,1507152.0,Paris,7
PORTEDIVRY,Porte d'Ivry,48.82096,2.37044,1282199.0,Paris,7
PORTEDOREE,Porte Dorée,48.835481,2.4061,1918182.0,Paris,8
PORTEDORLEANS,Porte d'Orléans,48.823189,2.325364,4175817.0,Paris,4
PORTEMAILLOT,Porte Maillot,48.878056,2.281944,4138301.0,Paris,1
PRESTGERVAIS,Pré-Saint-Gervais,48.88025,2.39891,282626.0,Paris,7bis
PYRAMIDES,Pyramides,48.86587,2.33467,3962698.0,Paris,7
PYRAMIDES,Pyramides,48.86587,2.33467,3962698.0,Paris,14
PYRENEES,Pyrénées,48.873875,2.385259,2288587.0,Paris,11
QUAIDELAGARE,Quai de la Gare,48.837069,2.372773,1735465.0,Paris,6
QUAIDELARAPEE,Quai de la Rapée,48.846,2.366,798728.0,Paris,5
QUATRESEPTEMBRE,Quatre-Septembre,48.869574,2.336633,1165004.0,Paris,3
RAMBUTEAU,Rambuteau,48.86119,2.35343,2127291.0,Paris,11
RANELAGH,Ranelagh,48.85502,2.269634,1779206.0,Paris,9
RASPAIL,Raspail,48.839194,2.330606,1238357.0,Paris,4
RASPAIL,Raspail,48.839194,2.330606,1238357.0,Paris,6
REAUMURSEBASTOPOL,Réaumur—Sébastopol,48.866111,2.3525,3579544.0,Paris,3
REAUMURSEBASTOPOL,Réaumur—Sébastopol,48.866111,2.3525,3579544.0,Paris,4
RENNES,Rennes,48.848193,2.327763,861334.0,Paris,12
REPUBLIQUE,République,48.867503,2.363811,11079708.0,Paris,3
REPUBLIQUE,République,48.867503,2.363811,11079708.0,Paris,5
REPUBLIQUE,République,48.867503,2.363811,11079708.0,Paris,8
REPUBLIQUE,République,48.867503,2.363811,11079708.0,Paris,9
REPUBLIQUE,République,48.867503,2.363811,11079708.0,Paris,11
REUILLYDIDEROT,Reuilly—Diderot,48.846944,2.386389,4580091.0,Paris,1
REUILLYDIDEROT,Reuilly—Diderot,48.846944,2.386389,4580091.0,Paris,8
RICHARDLENOIR,Richard-Lenoir,48.86,2.372,1544636.0,Paris,5
RICHELIEUDROUOT,Richelieu—Drouot,48.871987,2.338741,2994510.0,Paris,8
RIQUET,Riquet,48.88788,2.373578,1588438.0,Paris,7
ROBESPIERRE,Robespierre,48.855683,2.423678,2986308.0,Montreuil,9
ROME,Rome,48.882425,2.322052,1696331.0,Paris,2
RUEDELAPOMPE,Rue de la Pompe,48.863912,2.279052,2449458.0,Paris,9
RUEDESBOULETS,Rue des Boulets,48.851811,2.390151,1832442.0,Paris,9
